Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Kyrgyzstan,69.96627,66.38814,56.687428,59.905827,61.143585,57.57032,58.66886,64.38594,61.473503,62.066814,59.42368,67.648445,76.52915,71.8661,73.127846,65.63956,66.99369,69.38583,73.30649,66.91757,67.0747,60.542263,60.542263
Laos,11.332878,12.043276,11.977943,11.678458,12.113857,14.007215,15.860421,15.559872,17.63006,18.505816,29.250225,38.47994,40.12407,47.307285,48.08162,70.62649,120.128654,121.92248,126.88351,131.63283,143.98279,139.94064,139.94064
Latvia,37.75418,40.664444,41.022438,40.518818,45.555637,46.957714,44.543407,45.92616,46.242855,43.82077,49.669945,44.33605,45.962738,44.236668,40.747486,41.74564,44.49915,48.978153,43.564484,44.83716,40.854515,42.398724,39.6699
Lebanon,60.606056,64.49337,65.00091,65.76613,65.4509,62.575287,58.00841,51.343483,66.28692,81.97172,79.19253,79.97874,89.54121,89.2734,91.99911,101.51782,104.42425,111.53107,105.1971,106.661156,103.86615,105.31844,105.31844
Lesotho,2.4693427,2.5016437,2.5715294,2.6158326,2.6253881,3.0930068,3.286833,3.9715817,3.6017246,4.116414,4.3996096,3.9381018,4.1526675,4.2373376,4.3456836,4.2430806,4.593167,4.89175,4.7961416,4.871765,4.7167816,4.8659377,4.8659377
Liberia,1.8909329,2.0167847,1.989471,2.1787899,2.3634825,2.7665544,2.833771,2.6449285,2.3433158,2.1389852,3.367721,3.749771,4.1589627,3.6788895,4.844483,4.862246,5.590125,4.831436,5.4881964,5.4879627,5.240454,5.528998,5.528998
Libya,212.94627,214.66046,221.28317,218.0163,223.34734,230.98123,211.7974,210.39842,218.43176,249.98701,263.62225,173.02005,215.58334,231.87094,226.45312,180.20953,176.38931,199.04042,205.10458,212.98204,186.52736,190.40862,190.40862
Lithuania,78.03437,91.26609,97.401474,102.13443,102.862885,93.84335,89.61744,98.10395,97.13305,90.03387,65.75721,68.49784,68.60062,63.405746,61.163307,63.925446,65.14968,68.64724,70.79878,70.86558,70.29448,70.14949,63.666737
Luxembourg,37.2042,39.86669,43.58215,45.7039,51.779778,52.552967,51.62664,50.125652,49.76075,47.592953,50.115738,48.821117,47.95294,45.692364,44.27421,43.034466,42.459232,44.354897,46.43095,47.288246,40.49809,43.27491,39.07257
Madagascar,9.587165,9.408195,7.26744,9.301135,10.116486,9.790706,9.641767,10.290087,10.902319,9.618991,10.197317,11.428171,13.497147,14.159686,15.377752,16.817646,17.63125,16.164988,15.560264,18.68685,12.630883,14.678847,14.678847
Malawi,6.8078427,6.685983,6.606124,6.9402328,7.401393,7.1995,7.4360375,7.408119,8.4443445,7.862678,9.427578,9.493657,9.531876,9.690505,9.974371,9.610899,10.123318,10.431984,9.962464,10.147229,9.751647,9.248383,9.248383
Malaysia,611.2572,625.815,659.1749,714.1565,771.64,835.0786,843.83295,900.0566,932.6227,903.04865,932.97424,949.2023,1038.4077,1086.7378,1097.6155,1114.6879,1172.7693,1188.3135,1209.563,1240.7631,1195.112,1272.3535,1343.5121
Maldives,2.8618531,2.3996603,2.8691986,2.494432,3.2629292,2.9541214,3.743637,3.8789015,4.216987,4.480191,4.528709,4.894298,6.235267,6.577692,8.817265,6.5987864,7.0005317,7.2642756,8.336382,9.367838,8.90442,9.214026,9.214026
